Business ID,Business Type,Date,Season,Weather,Location,Revenue,Profit,Growth Rate,Num Employees,GDP Growth,Inflation,Unemployment,Marketing Spend,Customer Rating,Tech Adoption,Sentiment Score
34883,Stationery Shop,2021-10-13 19:49:09.020843,Autumn,Pleasant,Nagpur,211744,29779,0.053,6,0.041,0.024,0.04,18685,3.1,Medium,0.96
23199,Grocery Store,2021-10-13 19:54:48.893846,Autumn,Pleasant,Kolkata,198353,24806,0.093,48,0.038,0.054,0.035,6798,3.6,High,0.46
40155,Flower Shop,2021-10-13 20:31:40.851210,Autumn,Windy,Nagpur,383259,69221,0.048,11,0.041,0.052,0.079,3911,3.4,Medium,0.9
15273,Furniture Store,2021-10-13 20:48:07.971578,Autumn,Mild,Kolkata,371889,45616,0.009,33,0.038,0.049,0.049,13230,3.2,Medium,0.98
10402,Photo Studio,2021-10-13 21:34:54.933313,Autumn,Mild,Bangalore,217875,20882,0.0,47,0.012,0.045,0.075,9439,3.9,Low,0.81
2427,Auto Parts Shop,2021-10-13 21:49:16.674624,Autumn,Pleasant,Ghaziabad,416895,23454,0.033,40,0.046,0.024,0.074,3888,4.0,Medium,0.6
4256,Pet Shop,2021-10-13 23:11:40.949726,Autumn,Mild,Lucknow,496611,40631,0.052,41,0.024,0.04,0.072,36194,3.9,High,0.98
14068,Optician,2021-10-13 23:17:08.681020,Autumn,Mild,Visakhapatnam,134150,14044,0.031,9,0.019,0.046,0.039,11491,4.9,Low,0.61
25430,Mobile Repair Shop,2021-10-13 23:47:05.508482,Autumn,Windy,Visakhapatnam,232161,22503,0.039,40,0.012,0.05,0.049,17499,4.6,Medium,0.83
19140,Flower Shop,2021-10-14 00:49:33.857903,Autumn,Pleasant,Chennai,52126,5561,0.041,18,0.041,0.021,0.043,4734,4.5,High,0.55
47114,Fruit Vendor,2021-10-14 01:26:32.951884,Autumn,Mild,Bhopal,479481,69467,0.108,12,0.026,0.021,0.075,41058,4.8,High,0.56
49201,Hair Salon,2021-10-14 02:14:41.264857,Autumn,Mild,Vadodara,465001,86067,0.013,2,0.023,0.024,0.03,14997,4.3,High,0.77
12098,Shoe Store,2021-10-14 02:32:20.266901,Autumn,Pleasant,Kanpur,249331,27781,0.034,49,0.012,0.039,0.05,21670,3.1,High,0.48
28612,Optician,2021-10-14 02:55:04.045668,Autumn,Pleasant,Hyderabad,345122,59362,0.082,46,0.018,0.059,0.049,26078,4.3,Low,0.99
6923,Optician,2021-10-14 02:56:40.363471,Autumn,Pleasant,Patna,98433,6658,0.105,48,0.043,0.021,0.038,6131,3.1,Low,0.7
9995,Sweet Shop,2021-10-14 03:10:40.840160,Autumn,Pleasant,Patna,488149,40120,0.035,12,0.021,0.037,0.032,12367,3.9,Medium,0.9
37337,Furniture Store,2021-10-14 03:40:16.400051,Autumn,Windy,Visakhapatnam,270668,36277,0.061,15,0.046,0.027,0.043,4029,4.2,High,0.52
48104,Grocery Store,2021-10-14 03:56:30.103506,Autumn,Mild,Kanpur,48429,4390,0.072,14,0.017,0.055,0.037,3137,3.9,Medium,0.99
33359,Pharmacy,2021-10-14 04:01:22.791595,Autumn,Windy,Kolkata,203814,16388,0.084,33,0.034,0.054,0.039,15410,3.6,Medium,0.4
19941,Tech Shop,2021-10-14 04:55:10.052818,Autumn,Windy,Bangalore,86470,8841,0.01,2,0.014,0.048,0.055,8162,5.0,High,0.39
43706,Tailor Shop,2021-10-14 05:33:11.406072,Autumn,Pleasant,Nagpur,359737,48396,0.083,24,0.029,0.022,0.065,23736,3.1,Medium,0.72
11455,Flower Shop,2021-10-14 07:45:20.174431,Autumn,Windy,Visakhapatnam,376951,27315,0.091,27,0.026,0.055,0.071,24918,3.7,Medium,0.82
6925,Hair Salon,2021-10-14 08:06:49.363987,Autumn,Pleasant,Ghaziabad,324247,39755,0.153,26,0.037,0.04,0.064,31022,3.3,High,0.62
23417,Photo Studio,2021-10-14 08:19:17.950765,Autumn,Pleasant,Kolkata,264999,48269,0.028,43,0.023,0.026,0.072,5609,4.2,High,0.46
16459,Clothing Store,2021-10-14 08:19:53.248736,Autumn,Pleasant,Patna,130957,16054,0.019,36,0.044,0.049,0.075,6006,3.6,Medium,0.51
14964,Auto Parts Shop,2021-10-14 09:40:17.896936,Autumn,Windy,Delhi,320388,47113,0.17,11,0.026,0.031,0.056,20798,3.9,Medium,0.35
11890,Ice Cream Parlor,2021-10-14 10:02:53.236824,Autumn,Pleasant,Jaipur,285973,16181,0.161,18,0.049,0.023,0.078,4747,3.2,Low,0.61
24651,Tech Shop,2021-10-14 10:14:24.279649,Autumn,Pleasant,Mumbai,251806,15471,0.029,21,0.043,0.054,0.074,16572,3.7,Medium,0.99
14277,Vegetable Vendor,2021-10-14 10:24:26.732571,Autumn,Pleasant,Patna,249207,34301,0.175,6,0.041,0.042,0.031,9640,3.8,High,0.55
36189,Jewelry Store,2021-10-14 10:42:21.225869,Autumn,Mild,Jaipur,475505,25695,0.019,49,0.026,0.058,0.076,32173,4.6,Medium,0.62
12064,Shoe Store,2021-10-14 11:25:54.261995,Autumn,Mild,Visakhapatnam,394344,64081,0.047,40,0.02,0.059,0.046,23542,3.4,High,0.62
14915,Electrical Appliances,2021-10-14 11:40:07.886259,Autumn,Mild,Delhi,444719,82869,0.083,25,0.011,0.05,0.04,19311,4.4,Low,0.36
38314,Pet Shop,2021-10-14 11:51:05.546246,Autumn,Windy,Pimpri-Chinchwad,232432,48521,0.005,45,0.045,0.043,0.034,12832,4.2,Medium,0.84
10513,Dry Cleaning Service,2021-10-14 11:55:52.966426,Autumn,Mild,Bhopal,158524,18970,0.053,33,0.025,0.059,0.042,8657,4.8,High,0.86
9630,Pharmacy,2021-10-14 12:13:21.787626,Autumn,Pleasant,Jaipur,24758,2019,0.07,21,0.044,0.024,0.051,2108,3.8,High,0.97
25681,Pharmacy,2021-10-14 12:36:54.568047,Autumn,Pleasant,Nagpur,216872,22128,0.119,28,0.017,0.027,0.077,19924,4.3,High,0.9
23219,Auto Parts Shop,2021-10-14 13:46:25.898939,Autumn,Pleasant,Thane,368412,54384,0.132,34,0.04,0.031,0.048,21124,4.2,Medium,0.52
5167,Grocery Store,2021-10-14 14:14:28.097673,Autumn,Pleasant,Jaipur,86791,13765,0.12,15,0.046,0.029,0.036,7078,4.8,Low,0.67
13867,Grocery Store,2021-10-14 14:41:32.633451,Autumn,Windy,Kolkata,40081,8205,0.033,36,0.046,0.043,0.071,3169,4.0,Low,0.41
19187,Ice Cream Parlor,2021-10-14 15:55:47.867822,Autumn,Mild,Lucknow,78122,7390,0.124,17,0.047,0.026,0.078,2017,3.7,Low,0.46
21849,Toy Shop,2021-10-14 16:45:51.539086,Autumn,Pleasant,Kanpur,217200,20711,0.025,27,0.022,0.045,0.03,15930,3.1,Low,0.71
1142,Pet Shop,2021-10-14 17:02:00.417268,Autumn,Pleasant,Pune,195813,29705,0.033,33,0.029,0.042,0.035,9143,3.6,Medium,0.76
26674,Pharmacy,2021-10-14 17:02:40.754054,Autumn,Mild,Pune,225039,38319,0.001,27,0.032,0.02,0.044,11673,4.9,Medium,0.33
37478,Pharmacy,2021-10-14 17:39:34.424130,Autumn,Pleasant,Ahmedabad,128174,22730,0.165,6,0.036,0.038,0.034,12077,5.0,Medium,0.62
38940,Cyber Cafe,2021-10-14 17:45:53.640809,Autumn,Pleasant,Thane,477372,78788,0.026,1,0.013,0.05,0.039,45379,3.5,Medium,0.8
43563,Street Food Vendor,2021-10-14 18:19:43.385375,Autumn,Mild,Mumbai,112370,17274,0.042,38,0.022,0.053,0.056,2316,4.8,Low,0.55
38050,Furniture Store,2021-10-14 18:21:51.506974,Autumn,Windy,Thane,425969,82403,0.085,33,0.027,0.03,0.078,24410,4.0,High,0.49
20555,Clothing Store,2021-10-14 19:34:57.206326,Autumn,Pleasant,Vadodara,477720,45946,0.03,40,0.019,0.041,0.04,28873,3.4,High,0.31
30387,Jewelry Store,2021-10-14 20:06:33.312892,Autumn,Mild,Pune,49256,6881,0.018,33,0.025,0.051,0.071,3772,4.5,Low,0.97
11348,Vegetable Vendor,2021-10-14 20:08:14.148744,Autumn,Mild,Kolkata,181478,18152,0.048,13,0.044,0.052,0.075,3205,4.8,Low,0.87
23459,Toy Shop,2021-10-14 20:30:02.960998,Autumn,Pleasant,Ghaziabad,341072,29454,0.023,47,0.023,0.028,0.077,12429,3.9,High,0.71
47418,Cyber Cafe,2021-10-14 20:37:37.998365,Autumn,Pleasant,Indore,114321,16168,0.146,7,0.044,0.023,0.036,5298,3.7,Medium,0.32
18523,Sweet Shop,2021-10-14 21:30:32.722918,Autumn,Pleasant,Ahmedabad,193236,15288,0.022,45,0.014,0.031,0.037,12947,3.4,Low,0.35
27528,Vegetable Vendor,2021-10-14 21:59:03.879416,Autumn,Mild,Ghaziabad,107146,8825,0.034,33,0.015,0.027,0.064,4414,4.3,Medium,0.85
34703,Bookstore,2021-10-15 00:23:54.992948,Autumn,Mild,Bhopal,188714,31914,0.102,9,0.03,0.059,0.052,13901,4.4,Medium,0.81
45285,Sweet Shop,2021-10-15 00:27:26.647519,Autumn,Windy,Jaipur,322770,22205,0.136,2,0.047,0.044,0.033,23809,4.0,Low,0.85
6552,Sweet Shop,2021-10-15 01:09:07.305314,Autumn,Pleasant,Pimpri-Chinchwad,276822,15747,0.07,13,0.028,0.049,0.055,25349,3.5,High,0.86
280,Hair Salon,2021-10-15 02:46:49.282917,Autumn,Pleasant,Thane,120642,17516,0.112,20,0.033,0.041,0.034,7939,3.8,Low,0.99
23042,Ice Cream Parlor,2021-10-15 02:55:02.851957,Autumn,Pleasant,Jaipur,343649,60876,0.084,17,0.021,0.042,0.035,9598,3.9,Low,0.88
15440,Hair Salon,2021-10-15 02:58:55.013916,Autumn,Pleasant,Indore,440091,75505,0.007,23,0.014,0.035,0.043,26015,4.0,Medium,0.68
48875,Gym,2021-10-15 04:15:20.217674,Autumn,Windy,Delhi,124035,22552,0.045,44,0.021,0.053,0.045,6844,4.3,High,0.78
40095,Tailor Shop,2021-10-15 04:17:31.832652,Autumn,Pleasant,Pune,270390,37427,0.012,29,0.04,0.042,0.065,4572,3.9,Low,0.83
27194,Cyber Cafe,2021-10-15 04:27:48.830688,Autumn,Mild,Ahmedabad,115614,17952,0.081,47,0.046,0.031,0.04,3985,3.5,Medium,0.64
14297,Ice Cream Parlor,2021-10-15 04:55:21.737642,Autumn,Pleasant,Jaipur,410577,58344,0.059,9,0.035,0.033,0.079,5512,4.0,Medium,0.99
17924,Furniture Store,2021-10-15 05:17:04.578439,Autumn,Pleasant,Kanpur,440763,91757,0.133,44,0.015,0.055,0.07,10321,3.6,Medium,0.58
43341,Flower Shop,2021-10-15 05:59:27.351973,Autumn,Mild,Thane,297594,23630,0.022,15,0.024,0.052,0.033,8362,3.4,High,0.91
42605,Flower Shop,2021-10-15 06:37:01.244983,Autumn,Mild,Thane,430228,39352,0.066,16,0.016,0.02,0.052,29305,4.5,High,0.35
11423,Pharmacy,2021-10-15 06:42:11.168582,Autumn,Mild,Thane,134611,17748,0.148,44,0.046,0.051,0.073,14164,4.7,High,0.69
10733,Tea Stall,2021-10-15 06:49:32.036330,Autumn,Mild,Lucknow,359849,26477,0.104,39,0.013,0.04,0.071,11055,4.1,Medium,0.34
13823,Ice Cream Parlor,2021-10-15 07:24:46.623754,Autumn,Pleasant,Chennai,135106,21093,0.004,15,0.023,0.039,0.073,1925,4.2,High,0.51
42299,Pet Shop,2021-10-15 08:15:28.201548,Autumn,Pleasant,Pune,299490,49434,0.031,28,0.016,0.057,0.051,10931,4.4,Medium,0.95
48211,Pet Shop,2021-10-15 08:15:42.119104,Autumn,Pleasant,Patna,508667,54035,0.187,11,0.035,0.058,0.037,20368,3.8,Low,0.39
19659,Spice Shop,2021-10-15 09:09:47.981665,Autumn,Pleasant,Pune,51291,2832,0.154,4,0.011,0.056,0.05,5040,4.1,High,0.57
47275,Clothing Store,2021-10-15 09:49:17.975679,Autumn,Mild,Visakhapatnam,34734,5708,0.091,25,0.012,0.051,0.049,1380,3.8,High,0.73
36020,Cyber Cafe,2021-10-15 10:11:43.197139,Autumn,Mild,Visakhapatnam,404613,68052,0.173,35,0.049,0.05,0.044,14952,3.8,Medium,0.83
42020,Fruit Vendor,2021-10-15 11:22:39.161306,Autumn,Mild,Pune,173338,24748,0.149,7,0.032,0.053,0.061,16961,3.3,Medium,0.68
40707,Optician,2021-10-15 11:24:44.961170,Autumn,Pleasant,Visakhapatnam,142036,25408,0.06,26,0.047,0.06,0.043,12594,4.8,Medium,0.68
18271,Ice Cream Parlor,2021-10-15 13:35:27.668982,Autumn,Pleasant,Bhopal,145794,23823,0.122,29,0.047,0.022,0.058,3656,4.0,Medium,0.96
42427,Tea Stall,2021-10-15 14:20:06.219964,Autumn,Mild,Ghaziabad,395179,33928,0.009,16,0.044,0.043,0.052,39294,4.2,Medium,0.67
45026,Sweet Shop,2021-10-15 15:34:38.610541,Autumn,Mild,Delhi,215310,28457,0.069,17,0.046,0.02,0.065,8016,4.6,Low,0.67
25871,Cyber Cafe,2021-10-15 15:41:42.599358,Autumn,Pleasant,Pimpri-Chinchwad,249119,18376,0.138,16,0.032,0.041,0.069,5019,4.5,Medium,0.41
28962,Tailor Shop,2021-10-15 15:49:23.102909,Autumn,Pleasant,Patna,336810,18959,0.029,46,0.032,0.055,0.078,13338,4.9,Medium,0.37
15680,Hair Salon,2021-10-15 15:58:12.071864,Autumn,Pleasant,Delhi,471882,41065,0.034,22,0.029,0.021,0.064,42513,3.9,Medium,0.3
37639,Photo Studio,2021-10-15 16:06:21.446899,Autumn,Windy,Nagpur,146794,10761,0.06,39,0.011,0.053,0.054,4793,4.3,High,0.8
27062,Fruit Vendor,2021-10-15 17:03:27.811896,Autumn,Pleasant,Ghaziabad,404942,73359,0.069,24,0.019,0.034,0.049,16579,4.3,Low,0.65
22916,Photo Studio,2021-10-15 18:23:35.819881,Autumn,Mild,Mumbai,303648,62920,0.021,3,0.017,0.041,0.038,13102,3.1,Low,0.96
10405,Photo Studio,2021-10-15 18:57:58.934120,Autumn,Pleasant,Jaipur,258407,50928,0.081,13,0.047,0.047,0.077,18027,4.3,Low,0.35
48432,Vegetable Vendor,2021-10-15 19:10:27.151960,Autumn,Pleasant,Delhi,471256,52235,0.108,26,0.043,0.055,0.074,43269,3.0,Medium,0.77
3581,Street Food Vendor,2021-10-15 19:11:53.854046,Autumn,Pleasant,Lucknow,498779,39125,0.095,42,0.031,0.03,0.036,20603,3.9,Low,0.7
27566,Photo Studio,2021-10-15 20:01:39.886415,Autumn,Mild,Delhi,498300,64852,0.089,13,0.019,0.048,0.045,27672,3.7,Medium,0.7
11819,Dry Cleaning Service,2021-10-15 20:02:56.226583,Autumn,Mild,Delhi,61085,11461,0.01,31,0.016,0.032,0.059,3033,4.0,Low,1.0
36096,Cyber Cafe,2021-10-15 20:06:58.208848,Autumn,Pleasant,Nagpur,272218,33187,0.072,26,0.025,0.022,0.065,26473,4.3,Low,0.52
5656,Photo Studio,2021-10-15 20:31:56.172543,Autumn,Windy,Chennai,339906,28890,0.061,38,0.046,0.053,0.042,27016,3.9,Low,0.45
32814,Ice Cream Parlor,2021-10-15 21:23:24.698550,Autumn,Mild,Hyderabad,61292,13068,0.008,37,0.042,0.055,0.031,2405,4.0,High,0.55
15068,Dry Cleaning Service,2021-10-15 21:32:11.919379,Autumn,Pleasant,Mumbai,120018,6961,0.132,42,0.027,0.051,0.069,7734,4.7,Medium,0.63
48627,Clothing Store,2021-10-15 21:36:56.181663,Autumn,Windy,Indore,474095,51352,0.024,40,0.041,0.047,0.035,15504,3.3,Medium,0.36
48592,Grocery Store,2021-10-15 21:37:40.176674,Autumn,Windy,Kanpur,343332,29128,0.13,7,0.02,0.024,0.055,10125,4.0,Medium,0.75
7792,Clothing Store,2021-10-15 21:43:42.504897,Autumn,Windy,Vadodara,473028,25592,0.101,25,0.027,0.058,0.071,15494,3.7,Medium,0.77
48851,Tech Shop,2021-10-15 21:47:53.214337,Autumn,Mild,Delhi,253033,45007,0.168,35,0.011,0.029,0.041,18709,3.6,Low,0.97
49092,Mobile Repair Shop,2021-10-15 22:35:37.248515,Autumn,Pleasant,Bhopal,106671,22914,0.033,49,0.046,0.025,0.058,10647,4.6,Medium,0.96
33490,Sweet Shop,2021-10-15 22:35:38.810785,Autumn,Pleasant,Kanpur,471034,44367,0.11,43,0.046,0.038,0.057,29396,3.4,High,0.91
39693,Pharmacy,2021-10-15 23:01:15.749194,Autumn,Mild,Hyderabad,460520,24845,0.089,20,0.034,0.048,0.065,4661,4.6,Medium,0.75
48175,Hair Salon,2021-10-15 23:12:16.113972,Autumn,Pleasant,Kanpur,273436,26159,0.047,49,0.021,0.031,0.07,9840,3.4,Low,0.65
23706,Flower Shop,2021-10-15 23:52:57.022489,Autumn,Windy,Delhi,140255,14703,0.103,3,0.031,0.026,0.065,2933,4.1,Medium,0.69
42931,Furniture Store,2021-10-16 00:02:34.292586,Autumn,Windy,Ahmedabad,31512,4589,0.201,34,0.045,0.046,0.052,2104,3.4,Low,0.8
34221,Hair Salon,2021-10-16 01:19:20.920694,Autumn,Pleasant,Delhi,151562,26249,0.081,5,0.045,0.036,0.066,4779,4.9,High,0.8
26008,Photo Studio,2021-10-16 01:27:22.619228,Autumn,Windy,Ghaziabad,34327,3640,0.043,45,0.035,0.057,0.046,2663,3.0,Low,0.44
39680,Stationery Shop,2021-10-16 01:35:28.747353,Autumn,Mild,Kolkata,54905,5032,0.056,26,0.034,0.044,0.07,1538,3.7,Medium,0.62
10530,Gym,2021-10-16 02:02:03.971586,Autumn,Windy,Kanpur,491199,70868,0.041,47,0.041,0.055,0.053,6620,3.7,Medium,0.6
517,Tech Shop,2021-10-16 02:11:07.318306,Autumn,Pleasant,Bangalore,146690,26379,0.104,49,0.035,0.049,0.058,12207,3.3,High,0.72
41225,Hair Salon,2021-10-16 02:51:52.038877,Autumn,Pleasant,Mumbai,49976,8880,0.124,36,0.025,0.027,0.051,1533,3.1,Low,0.78
26777,Dry Cleaning Service,2021-10-16 03:09:38.769239,Autumn,Mild,Nagpur,222472,43503,0.011,37,0.021,0.058,0.068,11614,4.7,Low,0.57
25666,Mobile Repair Shop,2021-10-16 03:36:54.564479,Autumn,Pleasant,Delhi,508937,39231,0.023,6,0.031,0.046,0.036,33586,3.3,Medium,0.95
26958,Pet Shop,2021-10-16 03:39:55.796787,Autumn,Pleasant,Pune,56620,3344,0.116,11,0.038,0.042,0.062,1181,3.5,High,0.59
47093,Vegetable Vendor,2021-10-16 04:28:18.948797,Autumn,Pleasant,Ahmedabad,132132,20970,0.035,26,0.011,0.057,0.055,5403,4.2,High,0.93
29346,Shoe Store,2021-10-16 04:28:24.159874,Autumn,Pleasant,Visakhapatnam,515686,60439,0.048,16,0.045,0.028,0.07,25182,4.4,Low,0.32
12552,Electrical Appliances,2021-10-16 04:44:56.333088,Autumn,Mild,Indore,78294,12755,0.021,32,0.021,0.051,0.034,5254,4.7,High,0.96
48888,Hair Salon,2021-10-16 05:30:48.219507,Autumn,Pleasant,Jaipur,144591,22369,0.136,11,0.015,0.028,0.08,5637,4.0,Medium,0.38
19672,Dry Cleaning Service,2021-10-16 05:34:55.983631,Autumn,Pleasant,Indore,446144,36625,0.11,42,0.043,0.032,0.043,20725,4.3,Low,0.77
29334,Ice Cream Parlor,2021-10-16 05:41:19.157367,Autumn,Pleasant,Indore,375098,68350,0.084,10,0.021,0.048,0.08,20157,3.9,Low,0.35
5559,Tea Stall,2021-10-16 07:23:11.155625,Autumn,Pleasant,Bangalore,357479,51449,0.044,2,0.025,0.023,0.055,21942,3.4,Low,0.7
23911,Electrical Appliances,2021-10-16 07:48:33.082633,Autumn,Windy,Lucknow,135912,16732,0.032,37,0.029,0.028,0.041,11545,4.6,High,0.65
37190,Photo Studio,2021-10-16 08:38:10.377304,Autumn,Windy,Chennai,435787,82690,0.05,31,0.03,0.029,0.042,34473,4.1,Low,0.93
31479,Street Food Vendor,2021-10-16 08:42:49.477035,Autumn,Pleasant,Kanpur,322524,32604,0.104,37,0.012,0.022,0.074,13191,4.9,High,0.35
41697,Flower Shop,2021-10-16 08:43:20.113993,Autumn,Pleasant,Jaipur,228284,30580,0.12,38,0.028,0.042,0.034,19842,4.6,High,0.39
21236,Jewelry Store,2021-10-16 10:37:45.365782,Autumn,Pleasant,Delhi,200102,32354,0.024,30,0.016,0.021,0.069,6330,3.9,Medium,0.37
28733,Clothing Store,2021-10-16 10:46:48.068213,Autumn,Pleasant,Nagpur,80394,12623,0.109,43,0.029,0.051,0.032,3268,3.4,High,0.42
24840,Sweet Shop,2021-10-16 11:34:55.322271,Autumn,Pleasant,Kolkata,105659,7428,0.05,48,0.029,0.058,0.059,2925,3.8,Low,0.54
47470,Toy Shop,2021-10-16 11:35:03.005959,Autumn,Windy,Pune,198339,29551,0.157,3,0.027,0.052,0.048,10346,4.6,Low,0.69
5025,Stationery Shop,2021-10-16 12:16:30.071989,Autumn,Pleasant,Nagpur,321131,34912,0.042,44,0.013,0.048,0.048,27555,3.6,High,0.92
8219,Auto Parts Shop,2021-10-16 13:07:32.581419,Autumn,Pleasant,Hyderabad,208890,34646,0.082,8,0.022,0.023,0.038,19463,3.1,Medium,0.98
49029,Furniture Store,2021-10-16 14:43:04.239161,Autumn,Pleasant,Hyderabad,343673,24562,0.086,39,0.047,0.044,0.064,17000,3.1,Medium,0.6
30667,Vegetable Vendor,2021-10-16 15:02:32.353287,Autumn,Mild,Visakhapatnam,174465,20612,0.084,36,0.016,0.056,0.046,4388,4.5,Low,0.83
49826,Spice Shop,2021-10-16 16:37:29.356385,Autumn,Pleasant,Ghaziabad,422676,63754,0.045,38,0.018,0.021,0.038,39732,4.7,Medium,0.91
47735,Optician,2021-10-16 16:37:55.044546,Autumn,Pleasant,Pune,222350,15867,0.006,39,0.048,0.043,0.052,13525,3.3,High,0.55
31497,Shoe Store,2021-10-16 16:49:28.479658,Autumn,Pleasant,Bangalore,346637,37496,0.051,16,0.018,0.042,0.034,19967,3.9,Medium,0.93
4437,Grocery Store,2021-10-16 16:54:06.976620,Autumn,Pleasant,Ahmedabad,400608,50114,0.135,6,0.013,0.036,0.04,25111,4.4,Medium,0.69
13112,Vegetable Vendor,2021-10-16 17:31:13.436962,Autumn,Mild,Hyderabad,183216,25788,0.101,41,0.018,0.047,0.052,10950,3.5,Medium,0.47
49589,Vegetable Vendor,2021-10-16 17:36:28.321530,Autumn,Pleasant,Pune,439563,59814,0.009,29,0.031,0.045,0.066,35828,3.8,Medium,0.97
37266,Clothing Store,2021-10-16 17:49:15.388271,Autumn,Mild,Patna,29030,4585,0.054,15,0.032,0.033,0.048,1251,3.7,High,0.64
37900,Dry Cleaning Service,2021-10-16 18:17:23.485599,Autumn,Pleasant,Mumbai,122993,6881,0.056,28,0.016,0.044,0.052,8656,4.4,Low,1.0
9245,Bookstore,2021-10-16 18:56:17.728975,Autumn,Pleasant,Chennai,269817,21143,0.088,36,0.031,0.036,0.053,24711,4.3,Low,0.38
2590,Clothing Store,2021-10-16 19:20:28.698769,Autumn,Windy,Visakhapatnam,142755,14509,0.045,2,0.015,0.057,0.04,3179,4.3,Low,0.65
33962,Ice Cream Parlor,2021-10-16 19:23:09.881910,Autumn,Pleasant,Hyderabad,354378,37995,0.057,3,0.048,0.041,0.063,25137,3.4,Low,0.46
42006,Street Food Vendor,2021-10-16 19:43:28.159347,Autumn,Pleasant,Ahmedabad,18376,1510,0.099,4,0.038,0.029,0.043,218,4.7,Low,0.36
20054,Cyber Cafe,2021-10-16 19:56:27.082615,Autumn,Mild,Ghaziabad,384908,33627,0.008,23,0.04,0.03,0.036,34663,4.0,Medium,0.55
29703,Cyber Cafe,2021-10-16 20:05:50.214481,Autumn,Pleasant,Hyderabad,489275,27664,0.019,18,0.039,0.057,0.037,32569,4.5,Low,0.54
45806,Pet Shop,2021-10-16 21:47:53.723551,Autumn,Pleasant,Pimpri-Chinchwad,482907,63810,0.126,13,0.032,0.037,0.038,30298,3.9,Low,0.9
36365,Ice Cream Parlor,2021-10-16 22:33:02.251496,Autumn,Pleasant,Patna,435791,42920,0.036,14,0.025,0.042,0.078,9059,4.7,High,0.74
16734,Shoe Store,2021-10-16 23:05:33.310166,Autumn,Windy,Pimpri-Chinchwad,84868,6230,0.032,38,0.038,0.052,0.064,2711,4.4,Medium,0.34
23087,Jewelry Store,2021-10-16 23:20:03.863760,Autumn,Pleasant,Vadodara,205344,32139,0.008,4,0.035,0.022,0.053,7663,3.6,High,0.76
33693,Dry Cleaning Service,2021-10-16 23:48:37.840727,Autumn,Pleasant,Lucknow,354951,37689,0.033,46,0.017,0.042,0.078,34167,4.8,Low,0.5
